source_id,title,url,topic,document_type,notes
wiki_pittsburgh,Wikipedia Pittsburgh,https://en.wikipedia.org/wiki/Pittsburgh,general_history,html,General Pittsburgh facts and history
wiki_history_pittsburgh,Wikipedia History of Pittsburgh,https://en.wikipedia.org/wiki/History_of_Pittsburgh,general_history,html,History-focused Pittsburgh page
britannica_pittsburgh,Britannica Pittsburgh,https://www.britannica.com/place/Pittsburgh,general_history,html,Encyclopedia overview
city_home,City of Pittsburgh Home,https://www.pittsburghpa.gov/Home,general_city,html,Official city website
city_operating_budgets,City Operating Budgets,https://www.pittsburghpa.gov/City-Government/Finances-Budget/Management-Budget/Budgets-and-Reports/Operating-Budgets,budget_tax,html,Official operating budget index
city_2024_operating_budget_pdf,City of Pittsburgh 2024 Operating Budget PDF,https://www.pittsburghpa.gov/files/assets/city/v/1/omb/documents/operating-budgets/24731_2024_operating_budget_2.pdf,budget_tax,pdf,Official 2024 operating budget PDF
city_tax_forms,City Tax Forms and Regulations,https://www.pittsburghpa.gov/City-Government/Finances-Budget/Taxes/Tax-Forms,budget_tax,html,Official tax forms page with regulation PDFs
engagepgh_past_budget_engagements,EngagePgh Past Budget Engagements,https://engage.pittsburghpa.gov/city-pittsburgh-budget-engagements/past-city-budget-engagements,budget_tax,html,City-operated budget engagement archive and budget links
engagepgh_2024_virtual_budget,EngagePgh 2024 Virtual Budget Engagement,https://engage.pittsburghpa.gov/city-pittsburgh-budget-engagements/2024-virtual-budget-engagement,budget_tax,html,City-operated 2024 budget engagement notes
engagepgh_2024_preliminary_budget_questions,EngagePgh 2024 Preliminary Budget Questions,https://engage.pittsburghpa.gov/city-pittsburgh-budget-engagements/what-questions-do-you-have-about-mayors-preliminary-2024-operating-and-capital-budgets,budget_tax,html,City-operated preliminary budget engagement page
engagepgh_vision_zero,EngagePgh Vision Zero,https://engage.pittsburghpa.gov/vision-zero,city_policy,html,City-operated policy page with 2024 budget references
ecode_business_related_taxes,City Code Article VII Business Related Taxes,https://ecode360.com/45439497,budget_tax,html,City of Pittsburgh municipal code tax article
ecode_amusement_tax,City Code Chapter 241 Amusement Tax,https://ecode360.com/45439513,budget_tax,html,City amusement tax code
